cell_id,developmental_age,cell_type
SRR13524260,E16.5,sgn
SRR13524261,E16.5,sgn
SRR13524262,E16.5,sgn
SRR13524266,E16.5,sgn
SRR13524265,E16.5,sgn
SRR13524271,E16.5,sgn
SRR13524267,E16.5,sgn
SRR13524268,E16.5,sgn
SRR13524269,E16.5,sgn
SRR13524270,E16.5,sgn
SRR13524264,E16.5,sgn
SRR13524263,E16.5,sgn
SRR13524273,E16.5,sgn
SRR13524276,E16.5,sgn
SRR13524275,E16.5,sgn
SRR13524274,E16.5,sgn
SRR13524281,E16.5,sgn
SRR13524279,E16.5,sgn
SRR13524277,E16.5,sgn
SRR13524278,E16.5,sgn
SRR13524272,E16.5,sgn
SRR13524280,E16.5,sgn
SRR13524291,E16.5,sgn
SRR13524282,E16.5,sgn
SRR13524283,E16.5,sgn
SRR13524290,E16.5,sgn
SRR13524285,E16.5,sgn
SRR13524289,E16.5,sgn
SRR13524286,E16.5,sgn
SRR13524287,E16.5,sgn
SRR13524288,E16.5,sgn
SRR13524284,E16.5,sgn
SRR13524300,E16.5,sgn
SRR13524301,E16.5,sgn
SRR13524299,E16.5,sgn
SRR13524293,E16.5,sgn
SRR13524294,E16.5,sgn
SRR13524295,E16.5,sgn
SRR13524292,E16.5,sgn
SRR13524297,E16.5,sgn
SRR13524296,E16.5,sgn
SRR13524298,E16.5,sgn
SRR13524310,E16.5,sgn
SRR13524309,E16.5,sgn
SRR13524311,E16.5,sgn
SRR13524304,E16.5,sgn
SRR13524305,E16.5,sgn
SRR13524303,E16.5,sgn
SRR13524302,E16.5,sgn
SRR13524307,E16.5,sgn
SRR13524308,E16.5,sgn
SRR13524306,E16.5,sgn
SRR13524321,E16.5,sgn
SRR13524320,E16.5,sgn
SRR13524312,E16.5,sgn
SRR13524313,E16.5,sgn
SRR13524314,E16.5,sgn
SRR13524315,E16.5,sgn
SRR13524316,E16.5,sgn
SRR13524317,E16.5,sgn
SRR13524319,E16.5,sgn
SRR13524318,E16.5,sgn
SRR13524328,E16.5,sgn
SRR13524331,E16.5,sgn
SRR13524330,E16.5,sgn
SRR13524323,E16.5,sgn
SRR13524322,E16.5,sgn
SRR13524324,E16.5,sgn
SRR13524329,E16.5,sgn
SRR13524325,E16.5,sgn
SRR13524326,E16.5,sgn
SRR13524327,E16.5,sgn
SRR13524336,E16.5,sgn
SRR13524339,E16.5,sgn
SRR13524338,E16.5,sgn
SRR13524337,E16.5,sgn
SRR13524341,E16.5,sgn
SRR13524332,E16.5,sgn
SRR13524340,E16.5,sgn
SRR13524333,E16.5,sgn
SRR13524335,E16.5,sgn
SRR13524334,E16.5,sgn
SRR13524347,E16.5,sgn
SRR13524346,E16.5,sgn
SRR13524345,E16.5,sgn
SRR13524344,E16.5,sgn
SRR13524343,E16.5,sgn
SRR13524342,E16.5,sgn
SRR13524350,E16.5,sgn
SRR13524348,E16.5,sgn
SRR13524352,E16.5,sgn
SRR13524353,E16.5,sgn
